"","Erythrina_","Passiflora","Meriania_p","Malvaviscu","Malvaviscu","Sobralia_a","Elleanthus","'Elleanthu","Elleanthus","Fernandezi","'Maxillari","Scaphyglot","Epidendrum","Epidendrum","Bomarea_hi","Bomarea_ob","Aechmea_nu","Pitcairnia","Werauhia_o","Tillandsia","Guzmania_m","Guzmania_n","Heliconia_","Heliconia_","Heliconia_","Heliconia_","Heliconia_","Heliconia_","Heliconia_","Renealmia_","Costus_lae","Costus_mal","Costus_pul","Costus_sca","Calathea_g","Pleiostach","Calathea_l","Calathea_l","Calathea_c","Calathea_m","Saurauia_m","Gaultheria","Gonocalyx_","Vaccinium_","Disterigma","Sphyrosper","Macleania_","Psammisia_","Satyria_wa","Thibaudia_","Cavendishi","Cavendishi","Cavendishi","Neomirande","Burmeister","Centropogo","Centropogo","Ipomoea_ba","Maripa_nic","Cestrum_po","Merinthopo","Schultesia","Besleria_c","Besleria_n","Kohleria_t","Chrysothem","Drymonia_w","Columnea_p","Columnea_n","Columnea_m","Columnea_q","Aegiphila_","Scutellari","Schlegelia","'Arrabidae","Arrabidaea","Stachytarp","Aphelandra","Ruellia_me","Odontonema","Razisea_wi","Macrocarpa","Tabernaemo","Allomarkgr","'Odontaden","Faramea_su","Notopleura","Palicourea","Psychotria","Psychotria","Palicourea","'Palicoure","Sabicea_pa","Pentagonia","Warscewicz","Gonzalagun","Guettarda_","Hillia_tri","Hamelia_pa","Hoffmannia"
"Erythrina_",0,0.4,0.412310562561766,0.435889894354067,0.435889894354067,0.479583152331272,0.479583152331272,0.489897948556636,0.479583152331272,0.5,0.5,0.509901951359279,0.489897948556636,0.489897948556636,0.447213595499958,0.447213595499958,0.458257569495584,0.447213595499958,0.447213595499958,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.479583152331272,0.479583152331272,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.479583152331272,0.479583152331272,0.479583152331272,0.479583152331272,0.469041575982343,0.458257569495584,0.447213595499958,0.458257569495584,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.435889894354067,0.435889894354067,0.424264068711929,0.412310562561766,0.424264068711929,0.435889894354067,0.447213595499958,0.435889894354067,0.424264068711929,0.424264068711929,0.519615242270663,0.5,0.519615242270663,0.509901951359279,0.479583152331272,0.479583152331272,0.435889894354067,0.469041575982343,0.489897948556636,0.547722557505166,0.547722557505166,0.5,0.5,0.509901951359279,0.529150262212918,0.53851648071345,0.53851648071345,0.547722557505166,0.5,0.469041575982343,0.479583152331272,0.5,0.5,0.5,0.479583152331272,0.469041575982343,0.458257569495584,0.458257569495584,0.509901951359279,0.479583152331272,0.489897948556636,0.469041575982343,0.489897948556636,0.447213595499958,0.458257569495584,0.469041575982343,0.469041575982343,0.458257569495584,0.469041575982343,0.529150262212918,0.5,0.489897948556636,0.5,0.519615242270663,0.489897948556636,0.489897948556636,0.509901951359279
"Passiflora",0.4,0,0.346410161513775,0.360555127546399,0.360555127546399,0.424264068711929,0.424264068711929,0.435889894354067,0.424264068711929,0.435889894354067,0.435889894354067,0.447213595499958,0.424264068711929,0.424264068711929,0.412310562561766,0.412310562561766,0.4,0.412310562561766,0.387298334620742,0.424264068711929,0.424264068711929,0.424264068711929,0.412310562561766,0.412310562561766,0.424264068711929,0.424264068711929,0.412310562561766,0.412310562561766,0.412310562561766,0.412310562561766,0.435889894354067,0.435889894354067,0.435889894354067,0.435889894354067,0.412310562561766,0.4,0.4,0.412310562561766,0.4,0.4,0.4,0.4,0.412310562561766,0.4,0.387298334620742,0.387298334620742,0.387298334620742,0.412310562561766,0.4,0.412310562561766,0.424264068711929,0.412310562561766,0.412310562561766,0.489897948556636,0.469041575982343,0.489897948556636,0.479583152331272,0.447213595499958,0.458257569495584,0.412310562561766,0.458257569495584,0.458257569495584,0.489897948556636,0.489897948556636,0.458257569495584,0.458257569495584,0.469041575982343,0.489897948556636,0.479583152331272,0.479583152331272,0.489897948556636,0.469041575982343,0.447213595499958,0.447213595499958,0.458257569495584,0.458257569495584,0.458257569495584,0.435889894354067,0.424264068711929,0.412310562561766,0.412310562561766,0.479583152331272,0.458257569495584,0.458257569495584,0.447213595499958,0.469041575982343,0.4,0.412310562561766,0.435889894354067,0.424264068711929,0.412310562561766,0.424264068711929,0.479583152331272,0.458257569495584,0.458257569495584,0.458257569495584,0.479583152331272,0.424264068711929,0.424264068711929,0.447213595499958
"Meriania_p",0.412310562561766,0.346410161513775,0,0.346410161513775,0.346410161513775,0.424264068711929,0.424264068711929,0.435889894354067,0.424264068711929,0.424264068711929,0.424264068711929,0.424264068711929,0.4,0.4,0.435889894354067,0.435889894354067,0.424264068711929,0.435889894354067,0.412310562561766,0.424264068711929,0.424264068711929,0.424264068711929,0.435889894354067,0.435889894354067,0.447213595499958,0.447213595499958,0.435889894354067,0.435889894354067,0.435889894354067,0.424264068711929,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.435889894354067,0.424264068711929,0.424264068711929,0.435889894354067,0.424264068711929,0.424264068711929,0.387298334620742,0.4,0.412310562561766,0.4,0.4,0.387298334620742,0.387298334620742,0.4,0.4,0.412310562561766,0.424264068711929,0.412310562561766,0.412310562561766,0.458257569495584,0.435889894354067,0.447213595499958,0.447213595499958,0.447213595499958,0.458257569495584,0.412310562561766,0.458257569495584,0.458257569495584,0.5,0.5,0.424264068711929,0.424264068711929,0.435889894354067,0.458257569495584,0.469041575982343,0.469041575982343,0.479583152331272,0.447213595499958,0.424264068711929,0.435889894354067,0.435889894354067,0.435889894354067,0.435889894354067,0.412310562561766,0.4,0.387298334620742,0.387298334620742,0.458257569495584,0.447213595499958,0.458257569495584,0.447213595499958,0.469041575982343,0.4,0.412310562561766,0.435889894354067,0.424264068711929,0.412310562561766,0.424264068711929,0.5,0.469041575982343,0.469041575982343,0.458257569495584,0.479583152331272,0.447213595499958,0.447213595499958,0.469041575982343
"Malvaviscu",0.435889894354067,0.360555127546399,0.346410161513775,0,0.14142135623731,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.479583152331272,0.479583152331272,0.479583152331272,0.458257569495584,0.458257569495584,0.458257569495584,0.458257569495584,0.447213595499958,0.458257569495584,0.435889894354067,0.447213595499958,0.447213595499958,0.447213595499958,0.458257569495584,0.458257569495584,0.469041575982343,0.469041575982343,0.458257569495584,0.458257569495584,0.458257569495584,0.458257569495584,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.458257569495584,0.447213595499958,0.447213595499958,0.458257569495584,0.447213595499958,0.447213595499958,0.424264068711929,0.435889894354067,0.447213595499958,0.435889894354067,0.435889894354067,0.424264068711929,0.424264068711929,0.435889894354067,0.435889894354067,0.447213595499958,0.458257569495584,0.447213595499958,0.447213595499958,0.519615242270663,0.5,0.519615242270663,0.509901951359279,0.469041575982343,0.479583152331272,0.435889894354067,0.479583152331272,0.479583152331272,0.53851648071345,0.53851648071345,0.469041575982343,0.469041575982343,0.479583152331272,0.5,0.5,0.5,0.509901951359279,0.479583152331272,0.458257569495584,0.447213595499958,0.469041575982343,0.469041575982343,0.469041575982343,0.447213595499958,0.435889894354067,0.424264068711929,0.424264068711929,0.5,0.5,0.5,0.489897948556636,0.489897948556636,0.447213595499958,0.458257569495584,0.479583152331272,0.469041575982343,0.458257569495584,0.458257569495584,0.529150262212918,0.5,0.489897948556636,0.489897948556636,0.5,0.489897948556636,0.489897948556636,0.509901951359279
"Malvaviscu",0.435889894354067,0.360555127546399,0.346410161513775,0.14142135623731,0,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.479583152331272,0.479583152331272,0.469041575982343,0.458257569495584,0.458257569495584,0.458257569495584,0.458257569495584,0.447213595499958,0.458257569495584,0.435889894354067,0.447213595499958,0.447213595499958,0.447213595499958,0.458257569495584,0.458257569495584,0.469041575982343,0.469041575982343,0.458257569495584,0.458257569495584,0.458257569495584,0.458257569495584,0.469041575982343,0.469041575982343,0.469041575982343,0.469041575982343,0.458257569495584,0.447213595499958,0.447213595499958,0.458257569495584,0.447213595499958,0.447213595499958,0.424264068711929,0.435889894354067,0.447213595499958,0.435889894354067,0.435889894354067,0.424264068711929,0.424264068711929,0.447213595499958,0.435889894354067,0.447213595499958,0.458257569495584,0.447213595499958,0.447213595499958,0.519615242270663,0.5,0.519615242270663,0.509901951359279,0.469041575982343,0.479583152331272,0.435889894354067,0.479583152331272,0.479583152331272,0.53851648071345,0.53851648071345,0.469041575982343,0.469041575982343,0.479583152331272,0.5,0.5,0.5,0.509901951359279,0.479583152331272,0.458257569495584,0.447213595499958,0.469041575982343,0.469041575982343,0.469041575982343,0.447213595499958,0.435889894354067,0.424264068711929,0.424264068711929,0.509901951359279,0.5,0.5,0.489897948556636,0.5,0.447213595499958,0.458257569495584,0.479583152331272,0.469041575982343,0.458257569495584,0.458257569495584,0.529150262212918,0.5,0.489897948556636,0.489897948556636,0.5,0.489897948556636,0.489897948556636,0.5
"Sobralia_a",0.479583152331272,0.424264068711929,0.424264068711929,0.469041575982343,0.469041575982343,0,0,0.1,0,0.264575131106459,0.264575131106459,0.282842712474619,0.244948974278318,0.244948974278318,0.33166247903554,0.33166247903554,0.346410161513775,0.360555127546399,0.33166247903554,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.387298334620742,0.387298334620742,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.4,0.4,0.4,0.4,0.374165738677394,0.360555127546399,0.360555127546399,0.374165738677394,0.360555127546399,0.360555127546399,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.435889894354067,0.435889894354067,0.458257569495584,0.447213595499958,0.458257569495584,0.447213595499958,0.458257569495584,0.458257569495584,0.53851648071345,0.519615242270663,0.519615242270663,0.509901951359279,0.489897948556636,0.489897948556636,0.458257569495584,0.5,0.5,0.529150262212918,0.529150262212918,0.479583152331272,0.479583152331272,0.489897948556636,0.509901951359279,0.519615242270663,0.519615242270663,0.529150262212918,0.489897948556636,0.479583152331272,0.489897948556636,0.489897948556636,0.489897948556636,0.489897948556636,0.469041575982343,0.458257569495584,0.447213595499958,0.447213595499958,0.519615242270663,0.5,0.479583152331272,0.489897948556636,0.509901951359279,0.447213595499958,0.458257569495584,0.479583152331272,0.447213595499958,0.458257569495584,0.469041575982343,0.519615242270663,0.5,0.5,0.519615242270663,0.529150262212918,0.509901951359279,0.509901951359279,0.529150262212918
"Elleanthus",0.479583152331272,0.424264068711929,0.424264068711929,0.469041575982343,0.469041575982343,0,0,0.1,0,0.264575131106459,0.264575131106459,0.282842712474619,0.244948974278318,0.244948974278318,0.33166247903554,0.33166247903554,0.346410161513775,0.360555127546399,0.33166247903554,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.387298334620742,0.387298334620742,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.4,0.4,0.4,0.4,0.374165738677394,0.360555127546399,0.360555127546399,0.374165738677394,0.360555127546399,0.360555127546399,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.435889894354067,0.435889894354067,0.458257569495584,0.447213595499958,0.458257569495584,0.447213595499958,0.458257569495584,0.458257569495584,0.53851648071345,0.519615242270663,0.519615242270663,0.509901951359279,0.489897948556636,0.489897948556636,0.458257569495584,0.5,0.5,0.529150262212918,0.529150262212918,0.479583152331272,0.479583152331272,0.489897948556636,0.509901951359279,0.519615242270663,0.519615242270663,0.529150262212918,0.489897948556636,0.479583152331272,0.489897948556636,0.489897948556636,0.489897948556636,0.489897948556636,0.469041575982343,0.458257569495584,0.447213595499958,0.447213595499958,0.519615242270663,0.5,0.479583152331272,0.489897948556636,0.509901951359279,0.447213595499958,0.458257569495584,0.479583152331272,0.447213595499958,0.458257569495584,0.469041575982343,0.519615242270663,0.5,0.5,0.519615242270663,0.529150262212918,0.509901951359279,0.509901951359279,0.529150262212918
"'Elleanthu",0.489897948556636,0.435889894354067,0.435889894354067,0.469041575982343,0.469041575982343,0.1,0.1,0,0.1,0.282842712474619,0.282842712474619,0.3,0.264575131106459,0.264575131106459,0.346410161513775,0.346410161513775,0.360555127546399,0.374165738677394,0.346410161513775,0.387298334620742,0.387298334620742,0.387298334620742,0.387298334620742,0.387298334620742,0.4,0.4,0.387298334620742,0.387298334620742,0.387298334620742,0.387298334620742,0.412310562561766,0.412310562561766,0.412310562561766,0.412310562561766,0.387298334620742,0.374165738677394,0.374165738677394,0.387298334620742,0.374165738677394,0.374165738677394,0.458257569495584,0.458257569495584,0.458257569495584,0.458257569495584,0.458257569495584,0.447213595499958,0.447213595499958,0.469041575982343,0.458257569495584,0.469041575982343,0.458257569495584,0.469041575982343,0.469041575982343,0.547722557505166,0.529150262212918,0.529150262212918,0.519615242270663,0.5,0.5,0.469041575982343,0.509901951359279,0.509901951359279,0.53851648071345,0.53851648071345,0.489897948556636,0.489897948556636,0.5,0.519615242270663,0.529150262212918,0.529150262212918,0.53851648071345,0.5,0.489897948556636,0.5,0.5,0.5,0.5,0.479583152331272,0.469041575982343,0.458257569495584,0.458257569495584,0.529150262212918,0.509901951359279,0.489897948556636,0.5,0.519615242270663,0.458257569495584,0.469041575982343,0.489897948556636,0.458257569495584,0.469041575982343,0.469041575982343,0.529150262212918,0.509901951359279,0.509901951359279,0.529150262212918,0.53851648071345,0.519615242270663,0.519615242270663,0.53851648071345
"Elleanthus",0.479583152331272,0.424264068711929,0.424264068711929,0.469041575982343,0.469041575982343,0,0,0.1,0,0.264575131106459,0.264575131106459,0.282842712474619,0.244948974278318,0.244948974278318,0.33166247903554,0.33166247903554,0.346410161513775,0.360555127546399,0.33166247903554,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.387298334620742,0.387298334620742,0.374165738677394,0.374165738677394,0.374165738677394,0.374165738677394,0.4,0.4,0.4,0.4,0.374165738677394,0.360555127546399,0.360555127546399,0.374165738677394,0.360555127546399,0.360555127546399,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,0.435889894354067,0.435889894354067,0.458257569495584,0.447213595499958,0.458257569495584,0.447213595499958,0.458257569495584,0.458257569495584,0.53851648071345,0.519615242270663,0.519615242270663,0.509901951359279,0.489897948556636,0.489897948556636,0.458257569495584,0.5,0.5,0.529150262212918,0.529150262212918,0.479583152331272,0.479583152331272,0.489897948556636,0.509901951359279,0.519615242270663,0.519615242270663,0.529150262212918,0.489897948556636,0.479583152331272,0.489897948556636,0.489897948556636,0.489897948556636,0.489897948556636,0.469041575982343,0.458257569495584,0.447213595499958,0.447213595499958,0.519615242270663,0.5,0.479583152331272,0.489897948556636,0.509901951359279,0.447213595499958,0.458257569495584,0.479583152331272,0.447213595499958,0.458257569495584,0.469041575982343,0.519615242270663,0.5,0.5,0.519615242270663,0.529150262212918,0.509901951359279,0.509901951359279,0.529150262212918
"Fernandezi",0.5,0.435889894354067,0.424264068711929,0.479583152331272,0.479583152331272,0.264575131106459,0.264575131106459,0.282842712474619,0.264575131106459,0,0.14142135623731,0.264575131106459,0.223606797749979,0.223606797749979,0.374165738677394,0.374165738677394,0.374165738677394,0.387298334620742,0.360555127546399,0.4,0.4,0.4,0.412310562561766,0.412310562561766,0.424264068711929,0.424264068711929,0.412310562561766,0.412310562561766,0.412310562561766,0.387298334620742,0.424264068711929,0.424264068711929,0.424264068711929,0.424264068711929,0.412310562561766,0.4,0.4,0.412310562561766,0.4,0.4,0.469041575982343,0.447213595499958,0.469041575982343,0.469041575982343,0.469041575982343,0.458257569495584,0.458257569495584,0.479583152331272,0.469041575982343,0.479583152331272,0.469041575982343,0.479583152331272,0.479583152331272,0.547722557505166,0.529150262212918,0.509901951359279,0.519615242270663,0.5,0.5,0.469041575982343,0.509901951359279,0.509901951359279,0.53851648071345,0.53851648071345,0.479583152331272,0.479583152331272,0.489897948556636,0.509901951359279,0.519615242270663,0.519615242270663,0.529150262212918,0.509901951359279,0.489897948556636,0.5,0.5,0.5,0.5,0.479583152331272,0.469041575982343,0.458257569495584,0.458257569495584,0.529150262212918,0.509901951359279,0.489897948556636,0.5,0.519615242270663,0.458257569495584,0.469041575982343,0.489897948556636,0.458257569495584,0.469041575982343,0.479583152331272,0.529150262212918,0.509901951359279,0.509901951359279,0.529150262212918,0.53851648071345,0.519615242270663,0.519615242270663,0.53851648071345
